id,label,division,n_structures,first_plate,last_plate,n_plates,bregma_anterior_mm,bregma_posterior_mm,aliases,structures,plates,note
ctx,CTX,cerebral cortex,68,7,42,36,5.7,-6.55,cortex;neocortex;isocortex;cerebral cortex;pallium,1 2 3 4 A1 AAF AI Au1 AuD AuV CEnt Cg1 Cg2 Cl CxA DCl DEn DI DLO DP Dtr DTT Ect Ent Fr3 FrA GI IEn IG IL LEnt LO LPtA M1 M2 MEnt MO MPtA Pir PRh PrL PtP RSD RSG RSGa RSGb RSGc S1 S1BF S1DZ S1DZO S1FL S1HL S1J S1Sh S1Tr S1ULp S2 TeA V1 V1B V1M V2L V2M VCl VEn VO VTT,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42,"Isocortex, the cingulate and retrosplenial belt, the insular and orbital fields, the rhinal cortices, piriform cortex, the cortical layers the atlas names separately, and the claustro-endopiriform complex. The dorsal and external cortices of the inferior colliculus carry the atlas's `cortex` tag and are not cerebral cortex; they are filed under midbrain alone."
hipp,HIPP,hippocampal formation,36,18,42,25,1.85,-6.55,hippocampus;hippocampal;archicortex,AHi alv CA1 CA2 CA3 CEnt df DG dhc DS Ect Ent f FC fi GrDG IG LEnt LMol MEnt MoDG MoS Or PaS PoDG Post PRh PrS Py Rad SFi SHi SLu STr vhc VS,18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42,"The atlas's hippocampal tag: the CA fields and their layers, the dentate gyrus, the subicular complex, entorhinal cortex, and the fibre systems the formation is defined by (fornix, fimbria, alveus, the hippocampal commissures)."
olf,OLF,olfactory areas,34,1,35,35,7.8,-4.1,olfactory;rhinencephalon;paleocortex,aci AOD AOE AOL AOM AOP AOV AOVP APir BAOT DEn dlo DTT EPl EPlA Gl GlA GrA GrO ICj ICjM IEn IPl lo LOT Mi MiA ON OV Pir RAPir Tu VEn VTT,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35,"The main and accessory olfactory bulbs, the anterior olfactory nucleus, tenia tecta, piriform cortex, the endopiriform nuclei, the olfactory tubercle and islands of Calleja, and the lateral olfactory tract."
bulb,BULB,olfactory bulb,12,1,16,16,7.8,2.55,olfactory bulb;main olfactory bulb;accessory olfactory bulb,aci EPl EPlA Gl GlA GrA GrO IPl Mi MiA ON OV,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,"The bulb proper: every layer of the main and accessory olfactory bulbs, the olfactory nerve layer, the intrabulbar anterior commissure and the olfactory ventricle. A subset of olfactory areas."
amyg,AMYG,amygdala,32,23,35,13,0.1,-4.1,amygdala;amygdaloid complex,AA ACo af AHi APir ASt BAOT BLA BLP BLV BMA BMP CeC CeL CeM CxA EA EAC I IM IMG La LaD LaV MeAD MeAV MePD MePV PLCo PMCo RAPir STIA,23 24 25 26 27 28 29 30 31 32 33 34 35,"The amygdaloid complex, including its cortical nuclei and the amygdalohippocampal and amygdalopiriform transition areas."
stri,STRI,striatum and pallidum,14,16,32,17,2.55,-3.05,basal ganglia;striatum;pallidum;corpus striatum;neostriatum,AcbC AcbSh CB CPu EP GP ICj ICjM IPAC LAcbSh LSS STh Tu VP,16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32,"Dorsal and ventral striatum (caudate putamen, accumbens, olfactory tubercle, islands of Calleja), the pallidum (globus pallidus, ventral pallidum, entopeduncular nucleus) and the subthalamic nucleus."
bfor,BFOR,septum and basal forebrain,26,17,29,13,2.2,-2.0,basal forebrain;septum;septal;substantia innominata,B BAC cst Fu HDB Ld LSD LSI LSV MCPO MS Nv SFi SHi SIB ST st STIA STLI STLP STLV STMA STMP STMV TS VDB,17 18 19 20 21 22 23 24 25 26 27 28 29,"The septal nuclei, the diagonal band and magnocellular basal forebrain, substantia innominata, and the bed nucleus of the stria terminalis with its stria. The ventral striatum and pallidum are filed under striatum and pallidum instead, though the atlas tags them here."
thal,THAL,thalamus,91,25,36,12,-0.6,-4.45,thalamus;dorsal thalamus;epithalamus;diencephalon,A13 AD AM AMV AngT AV AVDM AVVL CL CM DLG eml Eth F hbc IAD IAM IMD iml imvc LDDM LDVL LHb LHbL LHbM LPLC LPLR LPMC LPMR Lth MD MDC MDL MDM MGD MGM MGV MHb mt MZMG OPC PaXi PC PF PIL PLi Po PoMn PoT PSTh PT PTe PV PVA PVP Re REth Rh RRe Rt RtSt Sc SG sm SPF SPFPC STh str Sub SubD SubG SubI SubV tth VA VG VGMC VGPC VL VLi VM VPL VPM VPPC VRe Xi ZI ZIC ZID ZIR ZIV,25 26 27 28 29 30 31 32 33 34 35 36,"Dorsal thalamus, the geniculate bodies, the reticular and midline nuclei, the epithalamus and zona incerta. The atlas tags many hypothalamic nuclei `thalamus` as well; those are excluded here."
hypo,HYPO,hypothalamus,69,22,36,15,0.45,-4.45,hypothalamus;diencephalon,A11 AHA AHC AHP ANS Arc AVPe DA DM DMC DMD DMV LA LM LPO mch MCLH MCPO ME ML MM MnM MnPO mp MPA MPO MRe mtg MTu PaAP PaMM PaMP PaPo PaV Pe PeF PeFLH PH PHA PHD PLH pm PMD PMV PS RCh RChL SCh SChDL SChVM SO sox SPa StA SuML SuMM sumx Te TuLH VLH vlh VLPO VMH VMHC VMHDM VMHSh VMHVL VMPO VTM,22 23 24 25 26 27 28 29 30 31 32 33 34 35 36,"The hypothalamic nuclei and areas, the mammillary bodies, the median eminence and the hypothalamic tracts."
midb,MIDB,midbrain,97,31,45,15,-2.7,-7.6,midbrain;mesencephalon;tectum;tegmentum;colliculus,3N 3n 3PC 4N 4n APT APTD APTV Aq ATg BIC bic bsc CG CIC cic CLi CnF csc DCIC Dk DLPAG DMIC DMPAG DMTg DpG DpWh DR DTg DTgC DTgP dtgx ECIC EW IF InC InG InWh IPC IPD IPF IPI IPL IPR isRt LDTg LDTgV LPAG MA3 Me5 me5 MiTg MPT mRt mtg Op OPT p1PAG p1Rt Pa4 PaR PBG PBP PDTg PIF PN PP PPT PR PrC PrCnF PrEW Pta PTg Rbd RLi RMC RPC RR RRF RtTg RtTgP Sag SNC SNR SPTg Su3 Su3C SubB SuG TG VLPAG VTA VTAR VTg vtgx Zo,31 32 33 34 35 36 37 38 39 40 41 42 43 44 45,"Tectum (superior and inferior colliculi), the pretectum, the periaqueductal grey, the tegmentum, substantia nigra and the ventral tegmental area, the red nucleus and the oculomotor and trochlear nuclei. The dorsal raphe is here where the atlas prints it rostral of the pontine nuclei; its caudal subdivisions fall at pontine levels and are filed there."
pons,PONS,pons,128,39,49,11,-5.5,-9.0,pons;pontine;metencephalon,4Sh 5ADi 5N 5Sol 5Tr 5TT 6N 6n 7DI 7DL 7DM 7n 7VI 7VM 8n A5 ALPO asc7 Bar CAT CGA CGB CGG CGO CGPn cll CPO das DCDp DCFu DCMo DLPO DMSp5 DNLL DPGi DPO DRC DRD DRL DRV dVNLL EVe g7 Gca Gi GiA GrC INLL IRt KF LC lfp ll LNTB LPB LPBC LPBCr LPBI LPGiA LPGiE LSO LVe LVPO m5 ml mlf MnR MNTB MPB MPBE MPL MSO MVeMC MVePC MVPO Oca ocb P5 P7 Pa6 PCGS PCRt PDR PL PLV PMnR Pn PnC PnO PnR PnV PPy Pr Pr5DM Pr5VL py RIP RMg RPa RPO rs s5 Sca SGe SMV Sol sp5 Sp5O SPN SpVe Su5 SubCA SubCD SubCV SuVe tfp ts tz tzx VCA VCP veme vesp VNLL VNTB vVNLL X Y,39 40 41 42 43 44 45 46 47 48 49,"From the first plate that prints the pontine nuclei to the last that prints the facial nucleus (plates 39–49, bregma −5.50 to −9.35 mm): the basis pontis and pontine tegmentum, the superior olivary complex and the nuclei of the lateral lemniscus, the parabrachial nuclei, the trigeminal motor and principal sensory nuclei, and the facial and abducens nuclei."
