abbr,name,plate,label_index,ap_bregma_mm,ml_mm,ml_abs_mm,dv_mm,position_from,box_cx_frac,box_cy_frac,box_w_frac,box_h_frac,leader_tip_x_frac,leader_tip_y_frac
E,ependyma and subependymal layer,1,0,7.8,1.28,1.28,-6.77,label box,0.539,0.6829,0.0036,0.0114,,
E,ependyma and subependymal layer,1,1,7.8,-1.59,1.59,-6.78,label box,0.3903,0.6837,0.0036,0.0119,,
EPl,external plexiform layer of the olfactory bulb,1,0,7.8,1.07,1.07,-4.83,label box,0.5282,0.5262,0.0105,0.012,,
EPl,external plexiform layer of the olfactory bulb,1,1,7.8,-1.25,1.25,-4.86,label box,0.4081,0.5292,0.0109,0.0114,,
Gl,glomerular layer of the olfactory bulb,1,0,7.8,-1.39,1.39,-5.53,label box,0.4007,0.5831,0.0065,0.012,,
Gl,glomerular layer of the olfactory bulb,1,1,7.8,1.25,1.25,-5.49,label box,0.5373,0.5797,0.0069,0.012,,
GrO,granular cell layer of the olfactory bulb,1,0,7.8,0.64,0.64,-5.41,leader tip,0.5126,0.5452,0.0134,0.0125,0.5057,0.5731
GrO,granular cell layer of the olfactory bulb,1,1,7.8,-0.88,0.88,-5.09,label box,0.4272,0.5472,0.0134,0.0119,,
IPl,internal plexiform layer of the olfactory bulb,1,0,7.8,0.78,0.78,-4.85,leader tip,0.5313,0.4794,0.008,0.0119,0.5131,0.5282
IPl,internal plexiform layer of the olfactory bulb,1,1,7.8,-0.91,0.91,-4.82,leader tip,0.4066,0.4826,0.008,0.0114,0.4255,0.5255
Mi,mitral cell layer of the olfactory bulb,1,0,7.8,-0.75,0.75,-4.72,leader tip,0.4225,0.4752,0.008,0.0114,0.4338,0.5174
Mi,mitral cell layer of the olfactory bulb,1,1,7.8,0.66,0.66,-4.63,leader tip,0.5168,0.4723,0.008,0.0114,0.507,0.5105
ON,olfactory nerve layer,1,0,7.8,1.44,1.44,-5.88,label box,0.5475,0.6115,0.0105,0.0119,,
ON,olfactory nerve layer,1,1,7.8,-1.6,1.6,-5.92,label box,0.3896,0.6149,0.0102,0.0119,,
OV,olfactory ventricle (olfactory part of lateral ventricle),1,0,7.8,-0.74,0.74,-5.67,leader tip,0.4008,0.6837,0.0102,0.0119,0.4343,0.5942
aci,"anterior commissure, intrabulbar part",1,0,7.8,-0.67,0.67,-5.35,leader tip,0.3745,0.5227,0.0098,0.0119,0.4378,0.5686
aci,"anterior commissure, intrabulbar part",1,1,7.8,0.7,0.7,-5.23,leader tip,0.5639,0.5233,0.0098,0.0119,0.5092,0.5592
E,ependyma and subependymal layer,2,0,7.45,1.51,1.51,-6.73,label box,0.5509,0.6799,0.004,0.0114,,
E,ependyma and subependymal layer,2,1,7.45,-1.94,1.94,-6.83,label box,0.3724,0.6881,0.0036,0.0119,,
EPl,external plexiform layer of the olfactory bulb,2,0,7.45,-1.38,1.38,-5.61,label box,0.4012,0.5892,0.0109,0.0114,,
EPl,external plexiform layer of the olfactory bulb,2,1,7.45,1.22,1.22,-5.57,label box,0.5362,0.5864,0.0105,0.0114,,
Gl,glomerular layer of the olfactory bulb,2,0,7.45,1.5,1.5,-5.47,label box,0.5503,0.5781,0.0069,0.0119,,
Gl,glomerular layer of the olfactory bulb,2,1,7.45,-1.77,1.77,-5.5,label box,0.3812,0.5804,0.0065,0.0119,,
GrO,granular cell layer of the olfactory bulb,2,0,7.45,-1.01,1.01,-6.47,label box,0.4206,0.6588,0.0185,0.0233,,
GrO,granular cell layer of the olfactory bulb,2,1,7.45,0.87,0.87,-6.42,label box,0.5178,0.6549,0.0134,0.0125,,
IPl,internal plexiform layer of the olfactory bulb,2,0,7.45,-1.07,1.07,-4.67,leader tip,0.4053,0.4673,0.0076,0.0108,0.4173,0.5134
IPl,internal plexiform layer of the olfactory bulb,2,1,7.45,1.04,1.04,-4.59,leader tip,0.5425,0.4619,0.008,0.0114,0.5266,0.5072
Mi,mitral cell layer of the olfactory bulb,2,0,7.45,1.67,1.67,-4.14,label box,0.5592,0.4705,0.008,0.0114,,
Mi,mitral cell layer of the olfactory bulb,2,1,7.45,-1.63,1.63,-4.21,label box,0.3884,0.4761,0.0058,0.0114,,
ON,olfactory nerve layer,2,0,7.45,-1.91,1.91,-5.89,label box,0.3735,0.6119,0.0102,0.0125,,
ON,olfactory nerve layer,2,1,7.45,1.85,1.85,-5.89,label box,0.5685,0.6119,0.0098,0.0125,,
ON,olfactory nerve layer,2,2,7.45,-0.42,0.42,-7.04,label box,0.4508,0.7048,0.0105,0.0119,,
ON,olfactory nerve layer,2,3,7.45,0.39,0.39,-7.02,label box,0.4927,0.7031,0.0102,0.0119,,
OV,olfactory ventricle (olfactory part of lateral ventricle),2,0,7.45,1.72,1.72,-6.73,label box,0.5616,0.6802,0.0102,0.0119,,
aci,"anterior commissure, intrabulbar part",2,0,7.45,-1.35,1.35,-4.83,leader tip,0.3642,0.5126,0.0098,0.0119,0.4026,0.5264
aci,"anterior commissure, intrabulbar part",2,1,7.45,0.83,0.83,-4.95,leader tip,0.5819,0.5126,0.0102,0.0119,0.5157,0.536
