plate,bregma_mm,lambda_mm,interaural_mm,occipital_crest_mm,n_structures
1,7.8,12.25,15.05,17.75,9
2,7.45,11.9,14.7,17.4,9
3,7.1,11.55,14.35,17.05,10
4,6.75,11.2,14.0,16.7,10
5,6.4,10.85,13.65,16.35,15
6,6.05,10.5,13.3,16.0,17
7,5.7,10.15,12.95,15.65,20
8,5.35,9.8,12.6,15.3,24
9,5.0,9.45,12.25,14.95,27
10,4.65,9.1,11.9,14.6,25
11,4.3,8.75,11.55,14.25,29
12,3.95,8.4,11.2,13.9,32
13,3.6,8.05,10.85,13.55,31
14,3.25,7.7,10.5,13.2,33
15,2.9,7.35,10.15,12.85,33
16,2.55,7.0,9.8,12.5,39
17,2.2,6.65,9.45,12.15,37
18,1.85,6.3,9.1,11.8,42
19,1.5,5.95,8.75,11.45,46
20,1.15,5.6,8.4,11.1,50
21,0.8,5.25,8.05,10.75,53
22,0.45,4.9,7.7,10.4,53
23,0.1,4.55,7.35,10.05,71
24,-0.25,4.2,7.0,9.7,73
25,-0.6,3.85,6.65,9.35,79
26,-0.95,3.5,6.3,9.0,82
27,-1.3,3.15,5.95,8.65,113
28,-1.65,2.8,5.6,8.3,124
29,-2.0,2.45,5.25,7.95,127
30,-2.35,2.1,4.9,7.6,118
31,-2.7,1.75,4.55,7.25,105
32,-3.05,1.4,4.2,6.9,98
33,-3.4,1.05,3.85,6.55,110
34,-3.75,0.7,3.5,6.2,90
35,-4.1,0.35,3.15,5.85,84
36,-4.45,0.0,2.8,5.5,77
37,-4.8,-0.35,2.45,5.15,67
38,-5.15,-0.7,2.1,4.8,66
39,-5.5,-1.05,1.75,4.45,67
40,-5.85,-1.4,1.4,4.1,61
41,-6.2,-1.75,1.05,3.75,65
42,-6.55,-2.1,0.7,3.4,55
43,-6.9,-2.45,0.35,3.05,71
44,-7.25,-2.8,0.0,2.7,77
45,-7.6,-3.15,-0.35,2.35,73
46,-7.95,-3.5,-0.7,2.0,77
47,-8.3,-3.85,-1.05,1.65,77
48,-8.65,-4.2,-1.4,1.3,72
49,-9.0,-4.55,-1.75,0.95,77
50,-9.35,-4.9,-2.1,0.6,70
51,-9.7,-5.25,-2.45,0.25,52
52,-10.05,-5.6,-2.8,-0.1,61
53,-10.4,-5.95,-3.15,-0.45,60
54,-10.75,-6.3,-3.5,-0.8,57
55,-11.1,-6.65,-3.85,-1.15,58
56,-11.45,-7.0,-4.2,-1.5,57
57,-11.8,-7.35,-4.55,-1.85,51
58,-12.15,-7.7,-4.9,-2.2,42
59,-12.5,-8.05,-5.25,-2.55,28
60,-12.85,-8.4,-5.6,-2.9,23
61,-13.2,-8.75,-5.95,-3.25,23
62,-13.55,-9.1,-6.3,-3.6,24
