abbr,name,systems,first_plate,last_plate,n_plates,plates,n_labels,n_plates_labeled,label_ap_bregma_median_mm,label_ml_abs_median_mm,label_dv_median_mm,n_plates_with_extent,area_mm2_sum,area_mm2_max,traced_fraction_min,volume_mm3,mesh_grade,n_components,center_ml_mm,center_dv_mm,center_ap_mm
1,layer 1 of cortex,cortex,11,33,23,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33,49,17,-0.6,3.91,-7.64,16,17.858,1.781,0.96,5.8966,surface,7,-1.09,-7.62,-0.09
10Cb,10th cerebellar lobule (nodule),cerebellum,50,55,6,50 51 52 53 54 55,6,6,-10.23,0.04,-4.77,6,10.186,2.639,0.71,3.985,surface,1,0.08,-4.72,-10.27
10N,dorsal motor nucleus of vagus,motor,53,58,6,53 54 55 56 57 58,10,6,-11.27,0.36,-6.01,6,0.773,0.165,0.94,0.25,surface,2,0.03,-5.98,-10.99
10n,vagus nerve,motor,52,52,1,52,3,1,-10.05,1.56,-6.64,1,0.587,0.587,0.76,0.1945,slab,3,-1.66,-6.77,-10.05
11N,accessory nerve nucleus,motor,60,62,3,60 61 62,5,3,-13.2,0.39,-7.27,1,0.28,0.28,0.91,0.109,slab,2,-0.33,-7.24,-13.22
12GH,"hypoglossal nucleus, geniohyoid part",motor,57,58,2,57 58,2,2,-11.98,0.59,-6.61,2,0.126,0.076,0.68,0.0503,slab,1,0.6,-6.58,-11.95
12n,hypoglossal nerve,motor,53,58,6,53 54 55 56 57 58,9,6,-11.45,0.5,-7.1,6,2.806,1.093,0.27,0.7455,surface,4,-0.62,-7.14,-11.55
12N,hypoglossal nucleus,motor,51,58,8,51 52 53 54 55 56 57 58,17,8,-11.1,0.17,-6.18,8,2.178,0.473,0.36,0.8568,surface,2,0.04,-6.25,-11.22
1Cb,1st cerebellar lobule (lingula),cerebellum,46,48,3,46 47 48,3,3,-8.3,0.05,-4.95,3,2.002,0.965,1,0.7235,surface,1,0.06,-4.93,-8.19
2,layer 2 of cortex,cortex,11,33,23,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33,79,23,0.8,2.66,-7.25,22,8.103,0.557,0.63,2.4909,surface,25,-0.77,-6.89,3.61
2Cb,2nd cerebellar lobule,cerebellum,43,46,4,43 44 45 46,4,4,-7.42,0.07,-4.33,4,12.826,6.53,0.63,4.2764,surface,1,0.35,-4.2,-7.57
3,layer 3 of cortex,cortex,11,33,23,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33,68,23,0.1,3.58,-7.29,21,25.783,2.552,0.44,8.9259,surface,12,4.02,-7.3,-0.73
3Cb,3rd cerebellar lobule,cerebellum,43,49,7,43 44 45 46 47 48 49,9,7,-7.6,0.09,-3.27,7,18.788,9.961,0.21,5.58,surface,2,0.17,-3.39,-7.41
3n,oculomotor nerve,motor,36,37,2,36 37,4,2,-4.62,1.08,-6.71,2,0.314,0.19,0.76,0.08,slab,4,1.18,-6.43,-4.84
3N,oculomotor nucleus,midbrain;motor,37,38,2,37 38,4,2,-4.97,0.18,-5.05,2,0.811,0.476,0.99,0.2804,slab,1,0.01,-5.02,-5
3PC,"oculomotor nucleus, parvicellular part",midbrain;motor,36,36,1,36,2,1,-4.45,0.21,-5.02,1,0.316,0.316,0.99,0.1123,slab,2,0.19,-5.12,-4.46
3V,3rd ventricle,ventricular,23,34,12,23 24 25 26 27 28 29 30 31 32 33 34,21,12,-2,0.04,-5.68,11,4.078,0.849,0.7,1.3108,surface,6,0.03,-3.57,-1.93
4,layer 4 of cortex,cortex,14,16,3,14 15 16,2,2,3.08,0.78,-6.45,2,0.23,0.121,0.81,0.0525,slab,2,0.7,-6.31,2.82
4Cb,4th cerebellar lobule,cerebellum,41,49,9,41 42 43 44 45 46 47 48 49,9,9,-7.6,0.1,-2.13,8,21.118,5.991,0.3,7.9825,surface,1,-0.04,-2.47,-7.7
4n,trochlear nerve,motor,41,44,4,41 42 43 44,7,4,-6.55,0.97,-4.64,4,0.996,0.656,0.83,0.2979,surface,3,0.15,-4.61,-6.53
4N,trochlear nucleus,midbrain;motor,39,40,2,39 40,4,2,-5.67,0.28,-4.93,2,0.442,0.274,1,0.1621,slab,1,-0.04,-4.92,-5.7
4Sh,trochlear nuclues shell region,motor,39,40,2,39 40,2,1,-5.5,0.28,-4.62,1,0.231,0.231,1,0.0734,slab,2,0.28,-4.65,-5.47
4V,4th ventricle,ventricular,43,54,12,43 44 45 46 47 48 49 50 51 52 53 54,12,12,-8.82,0.05,-5.56,12,7.088,2.227,0.9,2.4665,surface,1,0.06,-5.23,-8.5
5ADi,"motor trigeminal nucleus, anterior digastric part",motor;somatosensory,45,46,2,45 46,3,2,-7.95,1.32,-6.73,2,0.12,0.077,0.97,0.0451,slab,2,1.33,-6.59,-7.78
5Cb,5th cerebellar lobule,cerebellum,42,50,9,42 43 44 45 46 47 48 49 50,13,9,-7.25,0.12,-2.18,9,26.576,10.787,0.28,8.4208,surface,1,0.03,-2.48,-7.83
5N,motor trigeminal nucleus,motor;somatosensory,44,45,2,44 45,4,2,-7.42,1.69,-6.29,2,1.303,0.86,0.92,0.4453,slab,2,1.69,-6.28,-7.46
5Sol,trigeminal-solitary transition zone,brainstem;somatosensory,48,55,8,48 49 50 51 52 53 54 55,12,7,-10.23,1.42,-6.06,7,1.855,0.531,0.38,0.6301,surface,3,1.47,-6.12,-10.29
5Tr,trigeminal transition zone,somatosensory,44,46,3,44 45 46,4,3,-7.78,1.93,-5.84,3,0.706,0.324,0.81,0.2699,surface,2,-2.09,-5.76,-7.55
5TT,"motor trigeminal nucleus, tensor tympani part",motor;somatosensory,43,44,2,43 44,3,2,-7.25,1.89,-6.57,2,0.187,0.13,0.99,0.044,slab,2,1.91,-6.38,-6.78
6Cb,6th cerebellar lobule,cerebellum,46,54,9,46 47 48 49 50 51 52 53 54,9,8,-9.35,0.04,-1.52,8,20,5.445,0.19,7.3491,surface,1,0.08,-1.75,-9.27
6n,abducens nerve,motor,46,47,2,46 47,3,2,-7.95,0.63,-7.33,2,0.489,0.318,0.96,0.2178,slab,2,0.6,-7.28,-8.09
6N,abducens nucleus,motor,47,47,1,47,2,1,-8.3,0.39,-6.38,1,0.204,0.204,0.86,0.0676,slab,2,0.43,-6.34,-8.29
7Cb,7th cerebellar lobule,cerebellum,51,56,6,51 52 53 54 55 56,6,6,-10.57,0.02,-2.12,6,6.805,2.071,0.03,2.3701,surface,1,0.03,-2.21,-10.61
7DI,"facial nucleus, dorsal intermediate subnucleus",motor,48,50,3,48 49 50,4,3,-9,1.53,-7.36,3,0.447,0.253,0.22,0.1279,surface,2,1.58,-7.44,-8.69
7DL,"facial nucleus, dorsolateral subnucleus",motor,48,50,3,48 49 50,6,3,-9,1.79,-7.29,3,0.548,0.202,0.46,0.2161,surface,2,-1.81,-7.23,-8.96
7DM,"facial nucleus, dorsomedial subnucleus",motor,48,50,3,48 49 50,6,3,-9,1.25,-7.6,3,0.797,0.467,0.27,0.2439,surface,2,1.22,-7.66,-8.79
7L,"facial nucleus, lateral subnucleus",motor,49,51,3,49 50 51,6,3,-9.35,1.97,-7.49,2,0.226,0.159,0.27,0.0808,slab,2,-1.92,-7.56,-9.16
7n,facial nerve,motor,45,47,3,45 46 47,6,3,-7.95,1.99,-7.11,3,1.21,0.458,0.88,0.3903,surface,2,-1.84,-6.93,-8.09
7VI,"facial nucleus, ventral intermediate subnucleus",motor,48,50,3,48 49 50,6,3,-9,1.75,-7.62,3,1.6,0.905,0.24,0.558,surface,2,-1.63,-7.64,-9.12
7VM,"facial nucleus, ventromedial subnucleus",motor,48,50,3,48 49 50,6,3,-9,1.21,-7.96,3,0.574,0.22,0.42,0.2264,surface,2,1.2,-8.02,-8.98
8Cb,8th cerebellar lobule,cerebellum,51,58,8,51 52 53 54 55 56 57 58,8,8,-10.93,0.04,-2.75,8,28.455,16.666,0.23,7.9463,surface,1,-0.03,-2.9,-10.51
8n,vestibulocochlear nerve,auditory;vestibular,46,48,3,46 47 48,12,3,-8.3,3.05,-6.28,3,4.742,2.257,0.97,1.5854,surface,2,-3.16,-6.48,-8.19
9aCb,"9th cerebellar lobule, a",cerebellum,52,59,8,52 53 54 55 56 57 58 59,8,8,-11.27,0.04,-3.59,8,14.881,3.696,0.4,4.9124,surface,1,-0.03,-3.66,-11.35
9bCb,"9th cerebellar lobule, b",cerebellum,52,59,8,52 53 54 55 56 57 58 59,8,8,-11.27,0.04,-3.59,0,,,,,,,,,
9Cb,9th cerebellar lobule,cerebellum,50,51,2,50 51,2,2,-9.52,0.07,-4.03,2,0.865,0.772,0.28,0.3169,slab,1,0.04,-4.17,-9.4
9cCb,"9th cerebellar lobule, c",cerebellum,52,59,8,52 53 54 55 56 57 58 59,8,8,-11.27,0.02,-4.49,8,13.603,3.282,0.37,4.6891,surface,1,-0.05,-4.44,-11.41
9N,glossopharyngeal nerve nucleus,motor,62,62,1,62,1,1,-13.55,0.45,-7.82,1,0.247,0.247,0.58,0.0505,slab,1,0.46,-7.8,-13.5
A1,primary auditory field,auditory,29,33,5,29 30 31 32 33,8,5,-2.7,6.57,-4.59,0,,,,,,,,,
A11,A11 dopamine cells,monoaminergic,30,31,2,30 31,4,2,-2.53,0.68,-6.41,2,0.743,0.41,0.96,0.3229,slab,2,0.67,-6.4,-2.5
A13,A13 dopamine cells,monoaminergic,28,29,2,28 29,2,1,-2,0.86,-6.44,1,0.789,0.789,0.53,0.2113,slab,2,-1,-6.64,-2
A5,A5 noradrenaline cells,monoaminergic,44,47,4,44 45 46 47,7,4,-7.95,1.76,-7.3,4,0.605,0.206,0.41,0.2358,surface,2,-1.83,-7.32,-7.84
AA,anterior amygdaloid area,amygdala,24,26,3,24 25 26,5,3,-0.6,2.6,-7.66,3,2.212,1.419,0.39,0.8476,surface,2,3.07,-7.53,-0.4
AAF,anterior auditory field,auditory,28,29,2,28 29,4,2,-1.82,6.18,-4.34,0,,,,,,,,,
aca,"anterior commissure, anterior part",fiber_tract,11,24,14,11 12 13 14 15 16 17 18 19 20 21 22 23 24,24,13,1.85,1.22,-6.46,13,3.142,0.427,0.81,1.1424,surface,3,-0.55,-6.37,1.56
AcbC,"accumbens nucleus, core",basal_forebrain,16,21,6,16 17 18 19 20 21,12,6,1.68,1.2,-6.38,6,8.362,1.934,0.91,3.0333,surface,2,-1.28,-6.34,1.55
AcbSh,"accumbens nucleus, shell",basal_forebrain,16,21,6,16 17 18 19 20 21,11,6,1.85,0.75,-6.52,6,6.046,1.546,0.78,2.1721,surface,2,0.74,-6.57,1.67
