abbreviation,structure,first_plate,last_plate,n_plates,bregma_anterior_mm,bregma_posterior_mm,systems,plates
1,layer 1 of cortex,11,33,23,4.3,-3.4,cortex,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33
10Cb,10th cerebellar lobule (nodule),50,55,6,-9.35,-11.1,cerebellum,50 51 52 53 54 55
10N,dorsal motor nucleus of vagus,53,58,6,-10.4,-12.15,motor,53 54 55 56 57 58
10n,vagus nerve,52,52,1,-10.05,-10.05,motor,52
11N,accessory nerve nucleus,60,62,3,-12.85,-13.55,motor,60 61 62
12GH,"hypoglossal nucleus, geniohyoid part",57,58,2,-11.8,-12.15,motor,57 58
12n,hypoglossal nerve,53,58,6,-10.4,-12.15,motor,53 54 55 56 57 58
12N,hypoglossal nucleus,51,58,8,-9.7,-12.15,motor,51 52 53 54 55 56 57 58
1Cb,1st cerebellar lobule (lingula),46,48,3,-7.95,-8.65,cerebellum,46 47 48
2,layer 2 of cortex,11,33,23,4.3,-3.4,cortex,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33
2Cb,2nd cerebellar lobule,43,46,4,-6.9,-7.95,cerebellum,43 44 45 46
3,layer 3 of cortex,11,33,23,4.3,-3.4,cortex,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33
3Cb,3rd cerebellar lobule,43,49,7,-6.9,-9.0,cerebellum,43 44 45 46 47 48 49
3n,oculomotor nerve,36,37,2,-4.45,-4.8,motor,36 37
3N,oculomotor nucleus,37,38,2,-4.8,-5.15,midbrain;motor,37 38
3PC,"oculomotor nucleus, parvicellular part",36,36,1,-4.45,-4.45,midbrain;motor,36
3V,3rd ventricle,23,34,12,0.1,-3.75,ventricular,23 24 25 26 27 28 29 30 31 32 33 34
4,layer 4 of cortex,14,16,3,3.25,2.55,cortex,14 15 16
4Cb,4th cerebellar lobule,41,49,9,-6.2,-9.0,cerebellum,41 42 43 44 45 46 47 48 49
4n,trochlear nerve,41,44,4,-6.2,-7.25,motor,41 42 43 44
4N,trochlear nucleus,39,40,2,-5.5,-5.85,midbrain;motor,39 40
4Sh,trochlear nuclues shell region,39,40,2,-5.5,-5.85,motor,39 40
4V,4th ventricle,43,54,12,-6.9,-10.75,ventricular,43 44 45 46 47 48 49 50 51 52 53 54
5ADi,"motor trigeminal nucleus, anterior digastric part",45,46,2,-7.6,-7.95,motor;somatosensory,45 46
5Cb,5th cerebellar lobule,42,50,9,-6.55,-9.35,cerebellum,42 43 44 45 46 47 48 49 50
5N,motor trigeminal nucleus,44,45,2,-7.25,-7.6,motor;somatosensory,44 45
5Sol,trigeminal-solitary transition zone,48,55,8,-8.65,-11.1,brainstem;somatosensory,48 49 50 51 52 53 54 55
5Tr,trigeminal transition zone,44,46,3,-7.25,-7.95,somatosensory,44 45 46
5TT,"motor trigeminal nucleus, tensor tympani part",43,44,2,-6.9,-7.25,motor;somatosensory,43 44
6Cb,6th cerebellar lobule,46,54,9,-7.95,-10.75,cerebellum,46 47 48 49 50 51 52 53 54
6n,abducens nerve,46,47,2,-7.95,-8.3,motor,46 47
6N,abducens nucleus,47,47,1,-8.3,-8.3,motor,47
7Cb,7th cerebellar lobule,51,56,6,-9.7,-11.45,cerebellum,51 52 53 54 55 56
7DI,"facial nucleus, dorsal intermediate subnucleus",48,50,3,-8.65,-9.35,motor,48 49 50
7DL,"facial nucleus, dorsolateral subnucleus",48,50,3,-8.65,-9.35,motor,48 49 50
7DM,"facial nucleus, dorsomedial subnucleus",48,50,3,-8.65,-9.35,motor,48 49 50
7L,"facial nucleus, lateral subnucleus",49,51,3,-9.0,-9.7,motor,49 50 51
7n,facial nerve,45,47,3,-7.6,-8.3,motor,45 46 47
7VI,"facial nucleus, ventral intermediate subnucleus",48,50,3,-8.65,-9.35,motor,48 49 50
7VM,"facial nucleus, ventromedial subnucleus",48,50,3,-8.65,-9.35,motor,48 49 50
8Cb,8th cerebellar lobule,51,58,8,-9.7,-12.15,cerebellum,51 52 53 54 55 56 57 58
8n,vestibulocochlear nerve,46,48,3,-7.95,-8.65,auditory;vestibular,46 47 48
9aCb,"9th cerebellar lobule, a",52,59,8,-10.05,-12.5,cerebellum,52 53 54 55 56 57 58 59
9bCb,"9th cerebellar lobule, b",52,59,8,-10.05,-12.5,cerebellum,52 53 54 55 56 57 58 59
9Cb,9th cerebellar lobule,50,51,2,-9.35,-9.7,cerebellum,50 51
9cCb,"9th cerebellar lobule, c",52,59,8,-10.05,-12.5,cerebellum,52 53 54 55 56 57 58 59
9N,glossopharyngeal nerve nucleus,62,62,1,-13.55,-13.55,motor,62
A1,primary auditory field,29,33,5,-2.0,-3.4,auditory,29 30 31 32 33
A11,A11 dopamine cells,30,31,2,-2.35,-2.7,monoaminergic,30 31
A13,A13 dopamine cells,28,29,2,-1.65,-2.0,monoaminergic,28 29
A5,A5 noradrenaline cells,44,47,4,-7.25,-8.3,monoaminergic,44 45 46 47
AA,anterior amygdaloid area,24,26,3,-0.25,-0.95,amygdala,24 25 26
AAF,anterior auditory field,28,29,2,-1.65,-2.0,auditory,28 29
aca,"anterior commissure, anterior part",11,24,14,4.3,-0.25,fiber_tract,11 12 13 14 15 16 17 18 19 20 21 22 23 24
AcbC,"accumbens nucleus, core",16,21,6,2.55,0.8,basal_forebrain,16 17 18 19 20 21
AcbSh,"accumbens nucleus, shell",16,21,6,2.55,0.8,basal_forebrain,16 17 18 19 20 21
acer,anterior cerebral artery,23,23,1,0.1,0.1,vascular;ventricular,23
aci,"anterior commissure, intrabulbar part",1,10,10,7.8,4.65,fiber_tract;olfactory,1 2 3 4 5 6 7 8 9 10
ACo,anterior cortical amygdaloid nucleus,24,28,5,-0.25,-1.65,amygdala,24 25 26 27 28
acp,"anterior commissure, posterior part",23,25,3,0.1,-0.6,fiber_tract,23 24 25
AD,anterodorsal thalamic nucleus,26,27,2,-0.95,-1.3,thalamus,26 27
af,amygdaloid fissure,31,32,2,-2.7,-3.05,amygdala;cerebellum,31 32
AHA,"anterior hypothalamic area, anterior part",25,26,2,-0.6,-0.95,hypothalamus;thalamus,25 26
AHC,"anterior hypothalamic area, central part",27,28,2,-1.3,-1.65,hypothalamus;thalamus,27 28
AHi,amygdalohippocampal area,29,33,5,-2.0,-3.4,amygdala;hippocampal,29 30 31 32 33
AHP,"anterior hypothalamic area, posterior part",28,28,1,-1.65,-1.65,hypothalamus;thalamus,28
AI,agranular insular cortex,11,27,17,4.3,-1.3,cortex,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
ALPO,anterolateral periolivary nucleus,44,44,1,-7.25,-7.25,auditory,44
alv,alveus of the hippocampus,27,38,12,-1.3,-5.15,fiber_tract;hippocampal,27 28 29 30 31 32 33 34 35 36 37 38
AM,anteromedial thalamic nucleus,25,28,4,-0.6,-1.65,thalamus,25 26 27 28
AmbC,"ambiguus nucleus, compact part",52,52,1,-10.05,-10.05,brainstem,52
AmbL,"ambiguus nucleus, loose part",55,55,1,-11.1,-11.1,brainstem,55
AmbSC,"ambiguus nucleus, subcompact part",53,54,2,-10.4,-10.75,brainstem,53 54
AMV,"anteromedial thalamic nucleus, ventral part",27,27,1,-1.3,-1.3,thalamus,27
AngT,angular thalamic nucleus,28,29,2,-1.65,-2.0,thalamus,28 29
ANS,accessory neurosecretory nuclei,27,28,2,-1.3,-1.65,hypothalamus,27 28
AOD,"anterior olfactory nucleus, dorsal part",8,12,5,5.35,3.95,olfactory,8 9 10 11 12
AOE,"anterior olfactory nucleus, external part",6,10,5,6.05,4.65,olfactory,6 7 8 9 10
AOL,"anterior olfactory nucleus, lateral part",6,12,7,6.05,3.95,olfactory,6 7 8 9 10 11 12
AOM,"anterior olfactory nucleus, medial part",9,13,5,5.0,3.6,olfactory,9 10 11 12 13
AOP,"anterior olfactory nucleus, posterior part",14,16,3,3.25,2.55,olfactory,14 15 16
AOV,"anterior olfactory nucleus, ventral part",8,11,4,5.35,4.3,olfactory,8 9 10 11
AOVP,"anterior olfactory nucleus, ventroposterior part",11,15,5,4.3,2.9,olfactory,11 12 13 14 15
AP,area postrema,55,56,2,-11.1,-11.45,brainstem;ventricular,55 56
APir,amygdalopiriform transition area,30,35,6,-2.35,-4.1,amygdala;olfactory,30 31 32 33 34 35
apmf,ansoparamedian fissure,52,55,4,-10.05,-11.1,cerebellum,52 53 54 55
APT,anterior pretectal nucleus,35,35,1,-4.1,-4.1,visual,35
APTD,"anterior pretectal nucleus, dorsal part",31,34,4,-2.7,-3.75,visual,31 32 33 34
APTV,"anterior pretectal nucleus, ventral part",32,34,3,-3.05,-3.75,visual,32 33 34
Aq,aqueduct,35,42,8,-4.1,-6.55,midbrain;ventricular,35 36 37 38 39 40 41 42
Arc,arcuate hypothalamic nucleus,27,33,7,-1.3,-3.4,hypothalamus;thalamus,27 28 29 30 31 32 33
asc7,ascending fibers of the facial nerve,48,48,1,-8.65,-8.65,fiber_tract;motor,48
ASt,amygdalostriatal transition area,26,30,5,-0.95,-2.35,amygdala,26 27 28 29 30
ATg,anterior tegmental nucleus,40,41,2,-5.85,-6.2,midbrain,40 41
Au1,primary auditory cortex,28,33,6,-1.65,-3.4,auditory;cortex,28 29 30 31 32 33
AuD,"secondary auditory cortex, dorsal area",28,36,9,-1.65,-4.45,auditory;cortex,28 29 30 31 32 33 34 35 36
AuV,"secondary auditory cortex, ventral area",28,36,9,-1.65,-4.45,auditory;cortex,28 29 30 31 32 33 34 35 36
AV,anteroventral thalamic nucleus,25,25,1,-0.6,-0.6,thalamus,25
AVDM,"anterovent thalamic nucleus, dorsomedial part",26,28,3,-0.95,-1.65,thalamus,26 27 28
