abbreviation,structure,plates_index_of_structures,plates_index_of_abbreviations,first_plate,last_plate,n_plates,plates,note
1,layer 1 of cortex,11–33,11–33,11,33,23,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33,
10Cb,10th cerebellar lobule (nodule),50–55,50–55,50,55,6,50 51 52 53 54 55,
10N,dorsal motor nucleus of vagus,53–58,53–58,53,58,6,53 54 55 56 57 58,
10n,vagus nerve,52,52,52,52,1,52,
11N,accessory nerve nucleus,60–62,60–62,60,62,3,60 61 62,
12GH,"hypoglossal nucleus, geniohyoid part",57–58,57–58,57,58,2,57 58,
12N,hypoglossal nucleus,51–58,51–58,51,58,8,51 52 53 54 55 56 57 58,
12n,hypoglossal nerve,53–58,53–58,53,58,6,53 54 55 56 57 58,
1Cb,1st cerebellar lobule (lingula),46–48,46–48,46,48,3,46 47 48,
2,layer 2 of cortex,11–33,11–33,11,33,23,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33,
2Cb,2nd cerebellar lobule,43–46,43–46,43,46,4,43 44 45 46,
3,layer 3 of cortex,11–33,11–33,11,33,23,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33,
3Cb,3rd cerebellar lobule,43–49,43–49,43,49,7,43 44 45 46 47 48 49,
3N,oculomotor nucleus,37–38,37–38,37,38,2,37 38,
3n,oculomotor nerve,36–37,36–37,36,37,2,36 37,
3PC,"oculomotor nucleus, parvicellular part",36,36,36,36,1,36,
3V,3rd ventricle,23–34,23–34,23,34,12,23 24 25 26 27 28 29 30 31 32 33 34,
4,layer 4 of cortex,14–16,14–16,14,16,3,14 15 16,
4Cb,4th cerebellar lobule,41–49,41–49,41,49,9,41 42 43 44 45 46 47 48 49,
4N,trochlear nucleus,39–40,39–40,39,40,2,39 40,
4n,trochlear nerve,41–44,41–44,41,44,4,41 42 43 44,
4Sh,trochlear nuclues shell region,39–40,39–40,39,40,2,39 40,
4V,4th ventricle,43–54,43–54,43,54,12,43 44 45 46 47 48 49 50 51 52 53 54,
5ADi,"motor trigeminal nucleus, anterior digastric part",45–46,45–46,45,46,2,45 46,
5Cb,5th cerebellar lobule,42–50,42–50,42,50,9,42 43 44 45 46 47 48 49 50,
5N,motor trigeminal nucleus,44–45,44–45,44,45,2,44 45,
